ID,Name,Stars,Forks,Open Issues,Closed Issues,PRs,Releases,Pushed At,Created At,Primary Language
MDEwOlJlcG9zaXRvcnkxODQ0MjUx,todomvc,28732,13176,123,661,1369,6,2024-12-27T04:17:02Z,2011-06-03T19:56:33Z,JavaScript
MDEwOlJlcG9zaXRvcnkxMjI3MzQ1Njk=,lux,28720,3059,507,539,339,86,2024-10-12T05:49:08Z,2018-02-24T11:29:03Z,Go
MDEwOlJlcG9zaXRvcnk1MzM3MDk4OA==,lighthouse,28716,9349,552,8539,6154,116,2025-02-20T22:40:14Z,2016-03-08T01:03:11Z,JavaScript
MDEwOlJlcG9zaXRvcnkxNDEyNTI1NA==,consul,28703,4378,1234,4265,16354,199,2025-02-23T01:33:58Z,2013-11-04T22:15:27Z,Go
MDEwOlJlcG9zaXRvcnkxOTE4MjAxMDA=,mediapipe,28690,5062,375,4931,541,59,2025-02-21T23:01:02Z,2019-06-13T19:16:41Z,C++
MDEwOlJlcG9zaXRvcnk2MDI0MzE5Nw==,server,28679,4132,2215,17236,29978,308,2025-02-23T13:45:30Z,2016-06-02T07:44:14Z,PHP
MDEwOlJlcG9zaXRvcnkxNDgxMzA1,python-guide,28674,5627,93,176,856,0,2024-07-29T18:49:10Z,2011-03-15T03:24:20Z,Batchfile
MDEwOlJlcG9zaXRvcnkxMzA3ODk2OA==,postcss,28666,1557,24,984,919,265,2025-02-21T20:16:37Z,2013-09-24T23:06:48Z,TypeScript
R_kgDOGHarog,CasaOS,28652,1549,598,833,284,96,2024-12-19T03:15:47Z,2021-09-26T02:33:09Z,Go
MDEwOlJlcG9zaXRvcnkxMzE3ODk0OTQ=,SpringAll,28613,8048,21,27,25,0,2024-05-31T14:56:35Z,2018-05-02T02:48:44Z,Java
MDEwOlJlcG9zaXRvcnkxNjc1OTYzOTM=,k9s,28607,1775,560,1389,1199,233,2025-02-20T06:29:49Z,2019-01-25T18:46:02Z,Go
MDEwOlJlcG9zaXRvcnkxODA0OTEzMw==,slick,28604,5721,1210,2403,699,48,2024-08-30T19:41:50Z,2014-03-24T02:10:05Z,JavaScript
MDEwOlJlcG9zaXRvcnkxOTY3NjA4MTA=,linkedin-skill-assessments-quizzes,28574,12846,83,807,6011,1,2024-12-26T04:11:23Z,2019-07-13T19:52:56Z,Unknown
R_kgDOHw1bMQ,Hello-Python,28574,1845,23,130,10,0,2024-12-20T06:43:34Z,2022-08-03T17:14:53Z,Python
MDEwOlJlcG9zaXRvcnkxMjQyNTcyMzM=,react-spring,28481,1186,103,1141,597,50,2025-02-21T23:16:15Z,2018-03-07T15:39:32Z,TypeScript
